"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"7","","0","Таблица трат","0","0","API","0"
"5","","0","Категории","0","0","UI","0"
"8","","0","Таблица трат","0","0","UI","0"
"4","","0","Категории","0","0","API","0"
"2","","0","Регистрация","0","0","KAFKA","0"
"2","","0","Категории","0","0","DB","0"
"3","","0","Регистрация","0","0","UI","0"
"1","","0","Профиль пользователя","0","0","SOAP","0"
"3","","0","Профиль пользователя","0","0","UI","0"
"2","","0","Авторизация","0","0","UI","0"
"1","","0","Выход из системы","0","0","UI","0"
