"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81","Получение списка категорий через API","","Thu Feb 19 10:33:38 UTC 2026","passed","Thu Feb 19 10:33:38 UTC 2026","","","",""
"","376","Добавление новой траты","","Thu Feb 19 10:33:51 UTC 2026","passed","Thu Feb 19 10:33:51 UTC 2026","","","",""
"","895","Сумма трат по категории под диаграммой","","Thu Feb 19 10:33:55 UTC 2026","passed","Thu Feb 19 10:33:56 UTC 2026","","","",""
"","661","Редактирование траты","","Thu Feb 19 10:33:52 UTC 2026","passed","Thu Feb 19 10:33:52 UTC 2026","","","",""
"","28","Создание траты со всеми поддерживаемыми валютами через API","","Thu Feb 19 10:33:39 UTC 2026","passed","Thu Feb 19 10:33:39 UTC 2026","","","",""
"","69","Редактирование траты через API","","Thu Feb 19 10:33:38 UTC 2026","passed","Thu Feb 19 10:33:38 UTC 2026","","","",""
"","300","Добавление имени пользователя в профиль","","Thu Feb 19 10:33:48 UTC 2026","passed","Thu Feb 19 10:33:48 UTC 2026","","","",""
"","1153","Удаление всех трат","","Thu Feb 19 10:33:54 UTC 2026","passed","Thu Feb 19 10:33:55 UTC 2026","","","",""
"","73","Удаление траты через API","","Thu Feb 19 10:33:38 UTC 2026","passed","Thu Feb 19 10:33:38 UTC 2026","","","",""
"","366","SOAP: Получение информации о пользователе через SOAP","","Thu Feb 19 10:33:39 UTC 2026","passed","Thu Feb 19 10:33:40 UTC 2026","","","",""
"","14","Удаление категории через БД","","Thu Feb 19 10:33:58 UTC 2026","passed","Thu Feb 19 10:33:58 UTC 2026","","","",""
"","472","Создание категории через API","","Thu Feb 19 10:33:37 UTC 2026","passed","Thu Feb 19 10:33:38 UTC 2026","","","",""
"","458","Авторизация с невалидными данными","","Thu Feb 19 10:33:42 UTC 2026","passed","Thu Feb 19 10:33:42 UTC 2026","","","",""
"","1086","Редактирование названия категории через UI","","Thu Feb 19 10:33:46 UTC 2026","passed","Thu Feb 19 10:33:48 UTC 2026","","","",""
"","197","KAFKA: Сообщение с пользователем публикуется в Kafka после успешной регистрации","","Thu Feb 19 10:33:39 UTC 2026","passed","Thu Feb 19 10:33:39 UTC 2026","","","",""
"","753","Удаление траты","","Thu Feb 19 10:33:53 UTC 2026","passed","Thu Feb 19 10:33:53 UTC 2026","","","",""
"","27","Создание траты со всеми поддерживаемыми валютами через API","","Thu Feb 19 10:33:39 UTC 2026","passed","Thu Feb 19 10:33:39 UTC 2026","","","",""
"","494","Отображение валюты в сумме траты","","Thu Feb 19 10:33:57 UTC 2026","passed","Thu Feb 19 10:33:58 UTC 2026","","","",""
"","2","Добавление категории через БД","","Thu Feb 19 10:33:58 UTC 2026","passed","Thu Feb 19 10:33:58 UTC 2026","","","",""
"","1364","Авторизация с валидными данными","","Thu Feb 19 10:33:40 UTC 2026","passed","Thu Feb 19 10:33:42 UTC 2026","","","",""
"","29","Создание траты со всеми поддерживаемыми валютами через API","","Thu Feb 19 10:33:39 UTC 2026","passed","Thu Feb 19 10:33:39 UTC 2026","","","",""
"","27","Создание траты со всеми поддерживаемыми валютами через API","","Thu Feb 19 10:33:39 UTC 2026","passed","Thu Feb 19 10:33:39 UTC 2026","","","",""
"","330","Валидный поиск по тратам","","Thu Feb 19 10:33:56 UTC 2026","passed","Thu Feb 19 10:33:56 UTC 2026","","","",""
"","166","Отображение информации в профиле","","Thu Feb 19 10:33:48 UTC 2026","passed","Thu Feb 19 10:33:48 UTC 2026","","","",""
"","678","Регистрация нового пользователя в системе","","Thu Feb 19 10:33:49 UTC 2026","passed","Thu Feb 19 10:33:50 UTC 2026","","","",""
"","548","Регистрация нового пользователя, пароли не совпадают","","Thu Feb 19 10:33:50 UTC 2026","passed","Thu Feb 19 10:33:51 UTC 2026","","","",""
"","49","Помещение в архив категории через API","","Thu Feb 19 10:33:38 UTC 2026","passed","Thu Feb 19 10:33:38 UTC 2026","","","",""
"","487","Архивация категории через UI","","Thu Feb 19 10:33:45 UTC 2026","passed","Thu Feb 19 10:33:45 UTC 2026","","","",""
"","266","Удаление имени пользователя в профиле","","Thu Feb 19 10:33:49 UTC 2026","passed","Thu Feb 19 10:33:49 UTC 2026","","","",""
"","25","KAFKA: После отправки сообщения о регистрации пользователя в Kafka, пользоватаель создается в БД","","Thu Feb 19 10:33:39 UTC 2026","passed","Thu Feb 19 10:33:39 UTC 2026","","","",""
"","58","Редактирование названия категории через API","","Thu Feb 19 10:33:38 UTC 2026","passed","Thu Feb 19 10:33:38 UTC 2026","","","",""
"","448","Невалидный поиск по тратам","","Thu Feb 19 10:33:57 UTC 2026","passed","Thu Feb 19 10:33:57 UTC 2026","","","",""
"","71","Создание траты через API","","Thu Feb 19 10:33:38 UTC 2026","passed","Thu Feb 19 10:33:38 UTC 2026","","","",""
"","440","Редактирование названия категории через UI","","Thu Feb 19 10:33:44 UTC 2026","passed","Thu Feb 19 10:33:44 UTC 2026","","","",""
"","1103","Разархивация категории через UI","","Thu Feb 19 10:33:45 UTC 2026","passed","Thu Feb 19 10:33:46 UTC 2026","","","",""
"","450","Регистрация нового пользователя с пустыми данными","","Thu Feb 19 10:33:50 UTC 2026","passed","Thu Feb 19 10:33:50 UTC 2026","","","",""
